id,nome,cpf,genero,data_nascimento,data_inicio,frequencia_mensal,dias_restantes,frequentador_constante,dias_ativos,churn
1,Aluno 1,98676904524,M,2004-02-14,2024-10-18,13,12,1,26,0
2,Aluno 2,79678886843,M,1985-10-30,2024-12-10,12,236,1,44,0
3,Aluno 3,48248190126,M,1982-09-08,2025-02-25,17,22,1,67,0
4,Aluno 4,34239727116,M,1972-09-04,2024-11-08,7,10,0,12,0
5,Aluno 5,50645238837,F,1970-07-24,2025-03-24,6,24,1,44,0
6,Aluno 6,89120858940,F,1997-05-28,2024-11-20,18,1,1,63,0
7,Aluno 7,48323498478,M,1990-08-24,2025-02-02,3,9,1,78,1
8,Aluno 8,80613234443,M,1985-05-09,2024-12-15,2,294,1,16,0
9,Aluno 9,11479570074,F,1991-05-08,2025-03-20,20,76,1,68,0
10,Aluno 10,33421727946,M,1983-02-06,2025-02-13,10,84,0,10,0
11,Aluno 11,78273631128,M,1992-11-08,2025-02-09,14,27,0,10,0
12,Aluno 12,96365599285,F,1989-07-28,2025-01-31,8,15,1,11,0
13,Aluno 13,26511167977,M,1995-05-27,2024-10-25,18,10,0,22,0
14,Aluno 14,33617715721,F,2005-12-28,2025-03-06,15,38,0,83,0
15,Aluno 15,51119653477,M,1985-12-17,2025-03-22,2,15,1,89,0
16,Aluno 16,26659581025,F,1987-07-26,2025-01-13,16,28,0,17,0
17,Aluno 17,79050502403,M,1984-11-15,2025-02-12,2,191,0,26,0
18,Aluno 18,68101861555,F,1999-08-04,2024-10-11,3,7,0,10,1
19,Aluno 19,62730424005,M,1994-01-25,2024-11-24,4,27,0,76,0
20,Aluno 20,42813835131,F,1999-05-06,2024-11-16,8,69,1,81,0
21,Aluno 21,93342845998,M,1995-02-02,2025-03-26,5,12,0,63,0
22,Aluno 22,42356836023,F,1985-10-03,2025-01-19,17,174,0,32,0
23,Aluno 23,13837605442,M,2003-05-31,2025-02-28,9,293,1,36,0
24,Aluno 24,51855333733,F,1992-06-23,2025-02-28,9,12,1,66,0
25,Aluno 25,37770978303,M,1970-09-23,2024-12-07,14,155,1,63,0
26,Aluno 26,91847008235,F,2006-03-08,2024-10-19,14,25,1,45,0
27,Aluno 27,86324792917,F,1985-01-06,2025-02-21,5,224,0,78,0
28,Aluno 28,12436557470,F,1977-09-02,2025-01-11,2,33,1,18,0
29,Aluno 29,67392084395,M,1996-12-10,2025-03-11,5,47,1,89,0
30,Aluno 30,17101620118,F,1979-02-08,2024-10-14,6,6,0,83,1
31,Aluno 31,35209868103,F,1992-07-17,2025-01-18,17,15,1,80,0
32,Aluno 32,38399848836,M,1977-01-18,2025-02-23,20,325,1,19,0
33,Aluno 33,90102251001,M,1981-02-14,2024-11-14,5,132,1,17,0
34,Aluno 34,67865364410,F,1981-10-21,2024-11-28,14,20,0,61,0
35,Aluno 35,82569872158,F,2002-06-23,2024-12-21,20,224,1,67,0
36,Aluno 36,75819825326,F,1979-12-11,2025-02-26,20,5,1,74,0
37,Aluno 37,70359667800,F,1981-04-14,2025-02-24,6,28,1,53,0
38,Aluno 38,59298941590,F,1970-02-08,2025-02-22,2,10,0,67,0
39,Aluno 39,28285655322,M,1988-02-06,2024-11-25,14,2,0,77,1
40,Aluno 40,62539977394,M,1995-09-09,2025-01-31,20,165,0,89,0
41,Aluno 41,92710514394,F,1982-04-20,2025-03-28,4,54,0,78,0
42,Aluno 42,13005125822,M,1990-08-01,2024-12-28,9,64,1,44,0
43,Aluno 43,29552640654,M,1978-01-10,2024-12-05,10,16,0,56,0
44,Aluno 44,30186603346,M,1990-01-22,2025-03-30,3,28,1,60,0
45,Aluno 45,28303706043,F,1977-04-28,2025-02-26,10,80,1,61,0
46,Aluno 46,83986969871,F,1974-01-01,2024-10-26,2,53,1,73,0
47,Aluno 47,92732593599,M,1986-04-01,2024-10-10,16,155,0,12,0
48,Aluno 48,50644558283,F,1970-08-09,2025-03-22,2,50,0,58,0
49,Aluno 49,74855904353,F,1996-12-04,2024-11-30,10,20,1,58,0
50,Aluno 50,61988452531,M,1969-10-06,2024-12-22,18,158,1,22,0
